Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date,,
DoH_PD,33 Charlotte Street,Student Research Agreement,14/02/2022,"127,050.00",Australian National University,Australian National University ACTON  ACT  2601,No,No,,,,,,,,,PD113807,General Goods and Services,,,14/02/2022,52234063906,8/12/2023,,
DoH_PD,33 Charlotte Street,Temporary Contractor,22/02/2022,"35,120.38",Davidson Recruitment Pty Ltd,L10/295 ANN ST BRISBANE  QLD  4000,No,No,,,,,,,,,PD106404-13,General Goods and Services,GGS0060,,22/02/2022,50167132523,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,28/02/2022,"41,556.56",Mcarthur Management Services,"L 17/241 Adelaide Street, BRISBANE  QLD  4000",No,No,,,,,,,,,PD113736-1,General Goods and Services,GGS0060,,28/02/2022,51078078341,30/06/2022,,
DoH_PD,33 Charlotte Street,Light traps for mosquito surveillance,3/03/2022,"12,644.50",Pacific Biologics Pty Ltd,"35 BEACH ST, KIPPA RING  QLD  4021",No,No,,,,,,,,,4302007116/4302007117,General Goods and Services,,,3/03/2022,85089782696,4/03/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,10/03/2022,83462.4,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,,,,,,,,,PD106367-38,Information and Communication Technology,GGS0060,,10/03/2022,70600569784,30/06/2022,,
DoH_PD,33 Charlotte Street,Temporary Contractor,16/03/2022,"29,674.15",Davidson Recruitment Pty Ltd,L10/295 ANN ST BRISBANE  QLD  4000,No,No,,,,,,,,,PD106404-14,General Goods and Services,GGS0060,,16/03/2022,50167132523,30/06/2022,,
DoH_PD,33 Charlotte Street,Influenza material and mailing/distribution costs,16/03/2022,"14,899.81",The Buckner Group Pty Ltd,71 BASALT ST GEEBUNG  QLD  4034,No,No,,,,,,,,,4302034869,General Goods and Services,,,16/03/2022,47009739422,23/03/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2/05/2022,"45,070.74",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-36,Information and Communication Technology,GGS0060,,2/05/2022,70600569784,30/06/2022,,
DoH_PD,33 Charlotte Street,QC Condom Distribution Program,12/05/2022,39889,Sax Health Care Pty Ltd,"2/6B RAILWAY AVE, OAKLEIGH  VIC  3166",No,No,,,,,,,,,,General Goods and Services,,,12/05/2022,70092615480,22/05/2022,,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,13/06/2022,"81,394.90",Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,,,,,,,,,PD106367-34,Information and Communication Technology,GGS0060,,13/06/2022,70600569784,30/09/2022,,
