Agency,"Agency
Address",Contract description/name,Award contract date,"Contract Value ($)
(incl GST)",Supplier Name,Supplier Address,"Variation to Contract
(Yes/No)","Specific confidentiality provision used
(in contract)",Procurement method,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Commencement Date,Finish date,Supplier ABN
DoH_PD,33 Charlotte Street,ICT Contingency Labour,2/12/2019,187890.37,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-64,,,2/12/2019,30/09/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,9/12/2019,190740.00,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-67,,,9/12/2019,30/09/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,10/02/2020,87951.60,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-70,,,10/02/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,17/02/2020,102850.00,DAVIDSON RECRUITMENT PTY LTD ,Level 8 344 Queen Street  Brisbane  QLD 4000 ,No,No,Select,,,,,,,PD81940-15,,,17/02/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Student and University Research Agreement Master of Philosophy in Applied Epidemiology,17/02/2020,126500.00,THE AUSTRALIAN NATIONAL UNIVERSITY,"Building 62, Mills Road, Canberra  ACT  2601",No,No,,,,,,,,PD103616,,,17/02/2020,16/02/2021,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,29/02/2020,67238.18,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-41-1,,,29/02/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/03/2020,98405.56,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-39-1,,,1/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/03/2020,102601.88,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-44,,,1/03/2020,31/03/2021,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/03/2020,91870.55,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-9-1,,,1/03/2020,31/03/2021,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,9/03/2020,73865.00,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-71,,,9/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,30/03/2020,79393.60,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-73,,,30/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,6/04/2020,48673.05,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-75,,,6/04/2020,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,5/05/2020,22383.06,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,Select,,,,,,,PD77110-26,,,5/05/2020,5/07/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,30/05/2020,40626.09,EDEN RITCHIE RECRUITMENT PTY. LTD.,"Level 9, 10 Market Street Brisbane QLD  Brisbane Qld 4000 ",Yes,No,Select,,,,,,,PD99648,,,30/05/2020,31/08/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,3/06/2020,73142.78,HAYS RECRUITMENT,"Level 45, 111 Eagle Street Brisbane Qld 4000",No,No,Select,,,,,,,PD83207-11,,,3/06/2020,31/12/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2019,256202.54,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-61,,,1/07/2019,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,5/08/2019,279121.92,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-63,,,5/08/2019,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,30/09/2019,75022.64,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,Select,,,,,,,PD77110-13-1,,,30/09/2019,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,30/09/2019,124113.40,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,Yes,No,Select,,,,,,,PD77110-22,,,30/09/2019,3/01/2021,
DoH_PD,33 Charlotte Street,Temporary Contractor,14/10/2019,69535.14,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-31,,,14/10/2019,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,14/10/2019,69086.62,ADECCO AUSTRALIA PTY LTD,Level 19 300 Adelaide Street  Brisbane Queensland 4000 ,Yes,No,Select,,,,,,,PD104153-2,,,14/10/2019,30/06/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,14/10/2019,75999.18,HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-34,,,14/10/2019,28/02/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,25/11/2019,38159.62,RANDSTAD PTY LIMITED,GPO Box 4640 SYDNEY 2000 ,No,No,Select,,,,,,,PD77110-23,,,25/11/2019,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Products and Services,28/11/2019,2416524.00,CUSTOMER MANAGEMENT TECHNOLOGIES,PO Box 2311 Fortitude Valley Qld 4006,Yes,No,Limited,,,,,,,PD73437-2,,,28/11/2019,17/09/2020,
DoH_PD,33 Charlotte Street,Temporary Contractor,10/02/2020,39211.33,ADECCO AUSTRALIA PTY LTD,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,Yes,No,Select,,,,,,,PD82774-34,,,10/02/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,12/03/2020,94996.00,Allegis Global Solutions,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,Select,,,,,,,PD74441-74,,,12/03/2020,30/06/2020,
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2019,287231.03,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,Yes,No,Select,,,,,,,PD74441-62,,PTD0033-15,1/07/2019,26/06/2020,70600569784
DoH_PD,33 Charlotte Street,ICT Contingency Labour,1/07/2019,284188.78,Allegis Global Solutions,L19/99 Walker Street North Sydney NSW 2060,No,No,Select,,,,,,,PD74441-18-3,,PTD0033-15,1/07/2019,26/06/2020,70600569784
