Agency (Dept or Stat Body),Agency address,Contract description/name,Award contract date,Contract value,Supplier name,Supplier address,Variation to contract (Yes/No),Specific confidentiality provision used,Procurement method,Reason for use of limited tendering,Form of contract,Number of offers sought,Evaluation criteria and weightings,Deliverables,Contract milestones,Contract performance management,Contract reference number,Contract category group,Parent contract number/SOA,Variation comments,Commence date,Supplier ABN,Finish date
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"259,221.62",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-29,General Goods and Services,GGS0060,,1/07/2022,21002888762,30/06/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"250,837.91",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-30,General Goods and Services,GGS0060,,1/07/2022,21002888762,30/06/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"225,225.95",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-32,General Goods and Services,GGS0060,,1/07/2022,21002888762,30/06/2023
DoH_PD,33 Charlotte Street,Temporary Contractor,1/07/2022,"240,075.51",HUDSON GLOBAL RESOURCES (AUST) PTY LIMITED ,LVL 17 CENTRAL PLAZA 2 66 EAGLE STREET Brisbane QLD 4000 ,No,No,,,,,,,,,PD106405-27,General Goods and Services,GGS0060,,1/07/2022,21002888762,30/06/2023
DoH_PD,33 Charlotte Street,e-Recruitment online system - Yearly campaign configurations,1/07/2022,"12,592.80",Acendre Pty Ltd,L4/600 VICTORIA ST RICHMOND  VIC 3121,No,No,,,,,,,,,PD63038-1,General Goods & Services,,,1/07/2022,26079099282,8/09/2022
DoH_PD,33 Charlotte Street,Website hosting fees and updates,1/07/2022,"16,795.33",Vmly&R Pty Ltd,Stanley Street Plaza Southbank Qld 4000,No,No,,,,,,,,,,General Goods & Services,,,1/07/2022,67117645708,30/06/2023
DoH_PD,33 Charlotte Street,Travel Accomodation expenses,22/07/2022,"12,647.27",HRS Australasia Pty Ltd,"Level 35/03 60 Margaret St, Sydney NSW 2000",No,No,,,,,,,,,,General Goods & Services,,,22/07/2022,42006852991,25/11/2022
DoH_PD,33 Charlotte Street,Travel Air Fares,15/07/2022,"27,341.91",QANTAS Airways Limited,PO Box 766 BRISBANE  QLD  4001,No,No,,,,,,,,,,General Goods & Services,,,15/07/2022,16009661901,6/12/2022
DoH_PD,33 Charlotte Street,2022-23 National Blood Supply Plan,5/09/2022,"61,220,562.00",National Blood Authority,Locked Bag 8430  CANBERRA ACT 2601,No,Yes,,,,,,,,,HSCI69180,Medical,,,5/09/2022,87361602478,30/06/2023
DoH_PD,33 Charlotte Street,National Cord Blood Supply 2022-23,6/09/2022,"979,507.00",Department Of Health,Locked Bag 8430  CANBERRA ACT 2601,No,Yes,,,,,,,,,PD111705,Medical,,,6/09/2022,87361602478,30/06/2023
